left_index,right_index,similarity,left_label,right_label,left_preview,right_preview
0,61,0.9719427512006364,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has 
0,64,0.9350575853655145,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Understanding politics is crucial for professionals in this field. Recent studies show that politics can have significant impact on society. The development of politics technologie
0,67,0.9348346163167891,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Understanding politics is crucial for professionals in this field. The development of politics technologies has accelerated over the past decade. Experts recommend focusing on poli
0,75,0.959185300368114,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. Recent studies show that politics can have significant impact on society. The development of politics technologies has 
0,113,0.9799374272223816,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. Recent studies show that politics can have significant impact on society. politics has become increas
0,115,0.900230062477066,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Recent studies show that politics can have significant impact on society. The development of politics technologies has accelerated over the past decade. Understanding politics is c
0,116,0.9196179865574523,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. The development of politics technologies has accelerated over the past decade. The development of politics technologies
0,121,0.9215683807636369,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. politics has become increasingly important in today's world. Understanding politics is crucial for professionals in thi
0,130,0.9631591491485932,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. Understanding politics is crucial for professionals in this field. The development of politics techno
0,189,0.9348346163167891,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. The development of politics technologies has accelerated over the past decade. Experts recommend focusing on politics t
0,206,0.9799374272223816,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. politics has become increasingly important in today's world. Recent studies show that politics can ha
0,218,0.9174925340207308,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. politics has become increasingly important in today's world. Recent studies show that politics can have significant imp
0,240,0.9450354144980992,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. politics has become increasingly important in today's world. Understanding politics is crucial for professionals in thi
0,243,0.9755215148821756,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. Recent studies show that politics can have significant impact on society. Recent studies show that po
0,283,0.9478647907557408,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,politics has become increasingly important in today's world. Understanding politics is crucial for professionals in this field. The development of politics technologies has acceler
0,291,0.9215897185086188,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. politics has become increasingly important in today's world. politics has become increasingly importa
0,298,0.9044019270731298,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Recent studies show that politics can have significant impact on society. Understanding politics is crucial for professionals in this field. The development of politics technologie
0,347,0.9368734795992968,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. Recent studies show that politics can have significant impact on society. Recent studies show that po
0,355,0.9631591491485932,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has 
0,374,0.9030938378832837,1,1,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,The development of politics technologies has accelerated over the past decade. Experts recommend focusing on politics to improve overall outcomes. Understanding politics is crucial
0,376,0.904218788917665,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Experts recommend focusing on politics to improve overall outcomes. Recent studies show that politics can have significant impact on society. Experts recommend focusing on politics
0,381,0.9063004045877022,1,0,Recent studies show that politics can have significant impact on society. politics has become increasingly important in today's world. The development of politics technologies has ,Recent studies show that politics can have significant impact on society. The development of politics technologies has accelerated over the past decade. Understanding politics is c
